novela_name,aired
Esplendor,31 January 2000
Uga-Uga,8 May 2000
Laços de Família,5 June 2000
O Cravo e a Rosa,26 June 2000
Um Anjo Caiu do Céu,22 January 2001
Porto dos Milagres,5 February 2001
Estrela-Guia,12 March 2001
A Padroeira,18 June 2001
As Filhas da Mãe,27 August 2001
O Clone,1 October 2001
Desejos de Mulher,21 January 2002
Coração de Estudante,25 February 2002
Esperança,14 June 2002
O Beijo do Vampiro,26 August 2002
Sabor da Paixão,30 July 2002
Mulheres Apaixonadas,17 February 2003
Agora É que São Elas,24 March 2003
Kubanacan,5 May 2003
Chocolate com Pimenta,8 September 2003
Celebridade,13 October 2003
Da Cor do Pecado,26 January 2004
Cabocla,10 May 2004
Senhora do Destino,28 June 2004
Começar de Novo,30 August 2004
Como uma Onda,22 November 2004
 América,14 March 2005
A Lua Me Disse,18 April 2005
Alma Gêmea,20 June 2005
Bang Bang,3 October 2005
Belíssima,7 November 2005
Sinhá Moça,13 March 2006
Cobras & Lagartos,24 April 2006
Páginas da Vida,10 July 2006
O Profeta,16 October 2006
Pé na Jaca,20 November 2006
Paraíso Tropical,5 March 2007
Eterna Magia,14 May 2007
Sete Pecados,18 June 2007
Duas Caras,1 October 2007
Desejo Proibido,5 November 2007
Beleza Pura,18 February 2008
Ciranda de Pedra,5 May 2008
A Favorita,2 June 2008
Três Irmãs,15 September 2008
Negócio da China,6 October 2008
Caminho das Índias,19 January 2009
Paraíso,16 March 2009
Caras & Bocas,13 April 2009
Viver a Vida,14 September 2009
Cama de Gato,5 October 2009
Tempos Modernos,11 January 2010
Escrito nas Estrelas,12 April 2010
Passione,17 May 2010
Ti Ti Ti,19 July 2010
Araguaia,27 September 2010
Insensato Coração,17 January 2011
Morde & Assopra,21 March 2011
Cordel Encantado,11 April 2011
O Astro,12 July 2011
Fina Estampa,22 August 2011
A Vida da Gente,26 September 2011
Aquele Beijo,17 October 2011
Amor Eterno Amor,5 March 2012
Avenida Brasil,26 March 2012
Cheias de Charme,16 April 2012
Gabriela,18 June 2012
Lado a Lado,10 September 2012
Guerra dos Sexos,1 October 2012
Salve Jorge,22 October 2012
Flor do Caribe,11 March 2013
Sangue Bom,29 April 2013
Amor à Vida,20 May 2013
Saramandaia,24 June 2013
Joia Rara,16 September 2013
Além do Horizonte,4 November 2013
Em Família,3 February 2014
Meu Pedacinho de Chão,7 April 2014
Geração Brasil,5 May 2014
O Rebu,14 July 2014
Império,21 July 2014
Boogie Oogie,4 August 2014
Alto Astral,3 November 2014
Sete Vidas,9 March 2015
Babilônia,16 March 2015
I Love Paraisópolis,11 May 2015
Verdades Secretas,8 June 2015
Além do Tempo,13 July 2015
A Regra do Jogo,31 August 2015
Totalmente Demais,9 November 2015
Êta Mundo Bom!,18 January 2016
Velho Chico,14 March 2016
"Liberdade, Liberdade",11 April 2016
Haja Coração,31 May 2016
Sol Nascente,29 August 2016
A Lei do Amor,3 October 2016
Rock Story,9 November 2016
Novo Mundo,22 March 2017
A Força do Querer,3 April 2017
Os Dias Eram Assim,17 April 2017
Pega Pega,6 June 2017
Tempo de Amar,26 September 2017
O Outro Lado do Paraíso,23 October 2017
Deus Salve o Rei,9 January 2018
Orgulho e Paixão,20 March 2018
Onde Nascem os Fortes,23 April 2018
Segundo Sol,14 May 2018
O Tempo Não Para,31 July 2018
Espelho da Vida,25 September 2018
O Sétimo Guardião,12 November 2018
Verão 90,29 January 2019
Órfãos da Terra,2 April 2019
A Dona do Pedaço,20 May 2019
Bom Sucesso,29 July 2019
Éramos Seis,30 September 2019
Amor de Mãe,25 November 2019
Salve-se Quem Puder,27 January 2020
